date,code,name,close_price,total_score
20260514,000063,中兴通讯,37.56,44.79
20260515,000063,中兴通讯,37.71,38.68
20260518,000063,中兴通讯,37.51,31.59
20260519,000063,中兴通讯,37.65,33.18
20260520,000063,中兴通讯,37.18,36.21
20260521,000063,中兴通讯,34.83,29.06
20260522,000063,中兴通讯,35.64,28.76
20260525,000063,中兴通讯,36.27,33.27
20260512,000065,北方国际,12.98,20.4
20260513,000065,北方国际,13.1,22.88
20260514,000065,北方国际,12.83,16.93
20260515,000065,北方国际,12.8,18.33
20260518,000065,北方国际,12.29,14.92
20260519,000065,北方国际,12.39,15.9
20260520,000065,北方国际,12.77,21.24
20260521,000065,北方国际,12.2,18.54
20260522,000065,北方国际,12.19,16.94
20260525,000065,北方国际,13.06,36.59
20260512,000089,深圳机场,6.89,24.62
20260513,000089,深圳机场,6.87,23.63
20260514,000089,深圳机场,6.86,24.23
20260515,000089,深圳机场,6.81,23.06
20260518,000089,深圳机场,6.76,23.08
20260519,000089,深圳机场,6.79,27.07
20260520,000089,深圳机场,6.73,24.09
20260521,000089,深圳机场,6.73,27.09
20260522,000089,深圳机场,6.7,27.09
20260525,000089,深圳机场,6.78,34.07
20260512,000099,中信海直,17.52,13.03
20260513,000099,中信海直,17.57,13.02
20260514,000099,中信海直,17.08,5.66
20260515,000099,中信海直,17.23,10.15
20260518,000099,中信海直,16.87,6.27
20260519,000099,中信海直,17.03,12.26
20260520,000099,中信海直,16.73,11.18
20260521,000099,中信海直,16.85,15.57
20260522,000099,中信海直,16.57,17.67
20260525,000099,中信海直,16.82,12.77
20260512,000100,TCL科技,4.27,42.61
20260513,000100,TCL科技,4.37,49.35
20260514,000100,TCL科技,4.28,43.31
20260515,000100,TCL科技,4.28,45.71
20260518,000100,TCL科技,4.22,37.85
20260519,000100,TCL科技,4.3,45.79
20260520,000100,TCL科技,4.23,37.84
20260521,000100,TCL科技,4.37,51.65
20260522,000100,TCL科技,4.38,50.45
20260525,000100,TCL科技,4.44,47.81
20260512,000156,华数传媒,7.47,18.14
20260513,000156,华数传媒,7.55,21.21
20260514,000156,华数传媒,7.32,18.1
20260515,000156,华数传媒,7.36,15.48
20260518,000156,华数传媒,7.53,17.62
20260519,000156,华数传媒,7.68,25.36
20260520,000156,华数传媒,7.46,11.64
20260521,000156,华数传媒,7.25,14.63
20260522,000156,华数传媒,7.22,15.23
20260525,000156,华数传媒,7.33,16.19
20260512,000157,中联重科,7.84,49.23
20260513,000157,中联重科,7.88,50.62
20260514,000157,中联重科,7.6,47.24
20260515,000157,中联重科,7.64,44.02
20260518,000157,中联重科,7.31,38.18
20260519,000157,中联重科,7.26,35.01
20260520,000157,中联重科,7.25,35.81
20260521,000157,中联重科,7.27,40.5
20260522,000157,中联重科,7.3,40.5
20260525,000157,中联重科,7.48,47.2
20260512,000159,国际实业,6.26,23.99
20260513,000159,国际实业,6.26,26.99
20260514,000159,国际实业,6.89,36.53
