code,name,关注度,股息率,今年相对大盘强弱,财报,5日涨跌幅,新闻,total_score
000042,中洲控股,1.8,0.0,6,-10.0,4,0.0,1.8
300298,三诺生物,1.8,2.54,3,-10.0,4,0.0,1.34
000514,渝 开 发,2.1,0.0,3,-10.0,4,2.0,1.1
000415,渤海租赁,1.0,0.0,8,-10.0,2,0.0,1.0
000417,合百集团,1.0,2.94,3,-10.0,4,0.0,0.94
600059,古越龙山,1.0,1.72,4,-10.0,4,0.0,0.72
000528,柳    工,1.9,4.51,2,-10.0,2,0.0,0.41
000045,深纺织Ａ,1.0,1.17,4,-10.0,4,0.0,0.17
000032,深桑达Ａ,1.9,1.22,3,-10.0,4,0.0,0.12
000420,吉林化纤,1.0,0.0,3,-10.0,2,4.0,0.0
600055,万东医疗,2.0,1.77,2,-10.0,4,0.0,-0.23
000505,京粮控股,1.0,0.5,2,-10.0,6,0.0,-0.5
000061,农 产 品,2.0,1.29,2,-10.0,4,0.0,-0.71
000069,华侨城Ａ,2.1,0.0,3,-8.4,2,0.0,-1.3
000009,中国宝安,2.0,0.64,2,-10.0,4,0.0,-1.36
000526,学大教育,2.2,0.0,2,-10.0,4,0.0,-1.8
000002,万  科Ａ,1.0,0.0,3,-10.0,4,0.0,-2.0
000014,沙河股份,1.0,0.0,3,-10.0,4,0.0,-2.0
000503,国新健康,1.0,0.0,3,-10.0,4,0.0,-2.0
600053,九鼎投资,1.0,0.0,2,-10.0,4,0.0,-3.0
