code,name,关注度,单日涨跌幅,股息率,今年相对大盘强弱,财报,5日涨跌幅,行业相对强弱,新闻,资金流向,total_score
603993,洛阳钼业,5.5,5,2.85,3,20.0,6,3.2,1.0,8,54.55
002192,融捷股份,4.9,6,0.47,10,20.0,2,8.0,2.0,1,54.37
002518,科士达,1.0,0,1.56,8,12.42,10,7.2,4.0,10,54.18
688690,纳微科技,1.7,3,0.59,10,18.75,6,5.0,0.0,9,54.04
002077,大港股份,1.0,4,0.0,8,15.99,6,3.0,7.0,9,53.99
300811,铂科新材,1.0,4,0.4,10,12.37,4,7.2,5.0,10,53.97
000712,锦龙股份,1.0,6,0.0,2,19.5,8,4.4,4.0,9,53.9
600550,保变电气,1.0,5,0.0,10,17.07,4,3.8,5.0,8,53.87
600961,株冶集团,2.8,1,0.0,10,20.0,6,9.0,1.0,4,53.8
002338,奥普光电,1.0,3,0.22,6,20.0,6,7.4,1.0,9,53.62
300364,中文在线,1.0,7,0.0,6,20.0,2,2.6,7.0,8,53.6
300033,同花顺,3.9,5,4.2,4,18.87,4,2.6,2.0,9,53.57
002967,广电计量,1.7,4,1.79,4,17.67,4,4.4,10.0,6,53.56
002832,比音勒芬,1.0,2,5.79,10,9.96,8,9.6,1.0,6,53.35
688337,普源精电,2.0,7,1.29,10,20.0,4,6.0,0.0,3,53.29
301219,腾远钴业,3.8,3,2.27,10,20.0,4,5.0,0.0,5,53.07
603688,石英股份,5.3,6,0.24,10,-0.05,10,10.0,8.5,3,52.99
002428,云南锗业,7.0,6,0.02,10,1.29,10,9.6,4.0,5,52.91
600971,恒源煤电,1.6,3,5.72,8,17.46,4,5.0,7.0,1,52.78
688372,伟测科技,1.9,6,0.68,10,20.0,4,3.0,2.0,5,52.58
600259,中稀有色,4.1,6,0.3,10,16.24,6,3.8,1.0,5,52.44
000833,粤桂股份,2.2,5,1.3,10,19.63,6,4.2,3.0,1,52.33
300244,迪安诊断,1.0,7,3.72,8,16.0,2,2.6,7.0,5,52.32
002948,青岛银行,1.6,4,5.39,10,9.17,6,8.0,7.0,1,52.16
601868,中国能建,1.2,8,1.94,10,0.76,6,6.2,10.0,8,52.1
688300,联瑞新材,1.7,4,0.79,10,6.71,10,7.6,4.0,7,51.8
300687,赛意信息,1.0,1,0.0,10,12.76,10,9.0,1.0,7,51.76
